RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,LicenseIssuedDate,LicenseExpiredDate,Extract Year
64761,CHLOE,F,2016,Cardigan Welsh Corgi,,11201,4/7/18,4/7/21,2018
64822,NANA,F,2017,Jindo,,11201,4/8/18,4/8/20,2018
64827,GIZMO,M,2016,Yorkshire Terrier Crossbreed,,11201,4/8/18,5/20/19,2018
64836,MILO,M,2012,Chihuahua,,11201,4/8/18,5/22/19,2018
64875,MAURICE,M,2014,Terrier Crossbreed,,11201,4/8/18,4/8/19,2018
64916,ELLA,F,2005,Unknown,,11201,4/8/18,4/28/19,2018
64977,MONTY,M,2012,"Bull Dog, French",,11201,4/8/18,5/2/19,2018
64996,NACHO,M,2014,French Bulldog,,11201,4/8/18,4/8/19,2018
65052,HENRY,M,2011,Pomeranian Crossbreed,,11201,4/9/18,5/21/19,2018
65117,OLIVER,M,2014,Pembroke Welsh Corgi,,11201,4/9/18,3/24/19,2018
65346,HAZEL,F,2005,Unknown,,11201,4/9/18,5/30/19,2018
65579,WILSON,M,2011,Jack Russell Terrier,,11201,4/10/18,5/20/21,2018
65668,TOMASA,F,2017,Pug,,11201,4/11/18,4/11/19,2018
65757,LEONARD,M,2017,Jack Russell Terrier Crossbreed,,11201,4/11/18,4/11/19,2018
65769,BELLE,F,2015,American Staffordshire Terrier,,11201,4/11/18,5/28/19,2018
65790,KOBE,M,2017,Bichon Frise Crossbreed,,11201,4/11/18,4/29/19,2018
65820,OLIVE,F,2014,"Poodle, Standard",,11201,4/12/18,6/28/18,2018
65849,MILLNER,M,2018,Yorkshire Terrier,,11201,4/12/18,4/12/19,2018
65923,OLLIE,F,2011,"Bull Dog, French",,11201,4/12/18,5/25/19,2018
65950,CHEERIO,M,2014,"Poodle, Toy",,11201,4/12/18,4/12/19,2018
66063,TIFFANY,F,1999,Yorkshire Terrier,,11201,4/13/18,1/19/20,2018
66085,MERLIN,M,2015,Cardigan Welsh Corgi,,11201,4/13/18,4/13/19,2018
66124,TYSON,M,2001,Jack Russell Terrier,,11201,4/13/18,4/24/19,2018
66126,ZIGGY,F,2014,Yorkshire Terrier,,11201,4/13/18,4/13/19,2018
